alias, command, deprecated
parseurl, parse_url, true
columnifexists, column_ifexists, true
any, take_any, true
datepart, datetime_part(), true
extendid, extend_id, true
notempty, isnotempty, true
make_string, unicode_codepoints_to_string, true
replace, replace_regex, true
extractall, extract_all, true
base64_encodestring, base64_encode_tostring, true
replace, replace_regex, true
extractall, extract_all, true
base64_encodestring, base64_encode_string, true
arraylength, array_length, true
replace, replace_string, true
weekofyear, week_of_year, true
to_uft8, unicode_codepoints_from_string, true
makelist, make_list, true
notnull, isnotnull, true
base64_decodestring, base64_decode_tostring, true
parseurlquery, parse_urlquery, true
current_cursor, cursor_current, true
pack, bag_pack, true
pack_dictionary, bag_pack, true
argmax, arg_max, true
argmin, arg_min, true
totime, totimespan, true
anyif, take_anyif, true
parsejson, parse_json, true
toobject, parse_json, true
todynamic, parse_json, true
makeset, make_set, true
make_bag, make_dictionary, true
